Year,Country,Name,Total Score,To Par
1895,ÿEngland,Horace Rawlins,173,n/a
1896,ÿScotland,James Foulis,152,n/a
1897,ÿEngland,Joe Lloyd,162,n/a
1898,ÿScotland,Fred Herd,328,n/a
1899,ÿScotland,Willie Smith,315,n/a
1900,ÿJersey,Harry Vardon,313,n/a
1901,ÿScotland,Willie Anderson,331,n/a
1902,ÿScotland,Laurie Auchterlonie,307,n/a
1903,ÿScotland,Willie Anderson,307,n/a
1904,ÿScotland,Willie Anderson,303,n/a
1905,ÿScotland,Willie Anderson,314,n/a
1906,ÿScotland,Alex Smith,295,n/a
1907,ÿScotland,Alec Ross,302,n/a
1908,ÿScotland,Fred McLeod,322,n/a
1909,ÿEngland,George Sargent,290,2
1910,ÿScotland,Alex Smith,298,6
1911,ÿUnited States,John McDermott,307,3
1912,ÿUnited States,John McDermott,294,6
1913,ÿUnited States,Francis Ouimet,304,12
1914,ÿUnited States,Walter Hagen,290,2
1915,ÿUnited States,Jerome Travers,297,1
1916,ÿUnited States,Chick Evans,286,?2
1917,?,None,?,?
1918,?,None,?,?
1919,ÿUnited States,Walter Hagen,301,17
1920,ÿJersey,Ted Ray,295,7
1921,ÿEngland,Jim Barnes,289,9
1922,ÿUnited States,Gene Sarazen,288,8
1923,ÿUnited States,Bobby Jones,296,8
1924,ÿEngland,Cyril Walker,297,9
1925,ÿScotland,Willie Macfarlane,291,7
1926,ÿUnited States,Bobby Jones,293,5
1927,ÿUnited States,Tommy Armour,301,13
1928,ÿUnited States,Johnny Farrell,294,10
1929,ÿUnited States,Bobby Jones,294,6
1930,ÿUnited States,Bobby Jones,287,?1
1931,ÿUnited States,Billy Burke,292,8
1932,ÿUnited States,Gene Sarazen,286,6
1933,ÿUnited States,Johnny Goodman,287,?1
1934,ÿUnited States,Olin Dutra,293,13
1935,ÿUnited States,"Sam Parks, Jr.",299,11
1936,ÿUnited States,Tony Manero,282,?6
1937,ÿUnited States,Ralph Guldahl,281,?7
1938,ÿUnited States,Ralph Guldahl,284,E
1939,ÿUnited States,Byron Nelson,284,8
1940,ÿUnited States,Lawson Little,287,?1
1941,ÿUnited States,Craig Wood,284,4
1942,?,None[s],?,?
1943,?,None,?,?
1944,?,None,?,?
1945,?,None,?,?
1946,ÿUnited States,Lloyd Mangrum,284,?4
1947,ÿUnited States,Lew Worsham,282,?2
1948,ÿUnited States,Ben Hogan,276,?8
1949,ÿUnited States,Cary Middlecoff,286,2
1950,ÿUnited States,Ben Hogan,287,7
1951,ÿUnited States,Ben Hogan,287,7
1952,ÿUnited States,Julius Boros,281,1
1953,ÿUnited States,Ben Hogan,283,?5
1954,ÿUnited States,Ed Furgol,284,4
1955,ÿUnited States,Jack Fleck,287,7
1956,ÿUnited States,Cary Middlecoff,281,1
1957,ÿUnited States,Dick Mayer,282,5
1958,ÿUnited States,Tommy Bolt,283,3
1959,ÿUnited States,Billy Casper,282,2
1960,ÿUnited States,Arnold Palmer,280,?4
1961,ÿUnited States,Gene Littler,281,1
1962,ÿUnited States,Jack Nicklaus,283,?1
1963,ÿUnited States,Julius Boros,293,9
1964,ÿUnited States,Ken Venturi,278,?2
1965,ÿSouth Africa,Gary Player,282,2
1966,ÿUnited States,Billy Casper,278,?2
1967,ÿUnited States,Jack Nicklaus,275,?5
1968,ÿUnited States,Lee Trevino,275,?5
1969,ÿUnited States,Orville Moody,281,1
1970,ÿEngland,Tony Jacklin,281,?7
1971,ÿUnited States,Lee Trevino,280,E
1972,ÿUnited States,Jack Nicklaus,290,2
1973,ÿUnited States,Johnny Miller,279,?5
1974,ÿUnited States,Hale Irwin,287,7
1975,ÿUnited States,Lou Graham,287,3
1976,ÿUnited States,Jerry Pate,277,?3
1977,ÿUnited States,Hubert Green,278,?2
1978,ÿUnited States,Andy North,285,1
1979,ÿUnited States,Hale Irwin,284,E
1980,ÿUnited States,Jack Nicklaus,272,?8
1981,ÿAustralia,David Graham,273,?7
1982,ÿUnited States,Tom Watson,282,?6
1983,ÿUnited States,Larry Nelson,280,?4
1984,ÿUnited States,Fuzzy Zoeller,276,?4
1985,ÿUnited States,Andy North,279,?1
1986,ÿUnited States,Raymond Floyd,279,?1
1987,ÿUnited States,Scott Simpson,277,?3
1988,ÿUnited States,Curtis Strange,278,?6
1989,ÿUnited States,Curtis Strange,278,?2
1990,ÿUnited States,Hale Irwin,280,?8
1991,ÿUnited States,Payne Stewart,282,?6
1992,ÿUnited States,Tom Kite,285,?3
1993,ÿUnited States,Lee Janzen,272,?8
1994,ÿSouth Africa,Ernie Els,279,?5
1995,ÿUnited States,Corey Pavin,280,E
1996,ÿUnited States,Steve Jones,278,?2
1997,ÿSouth Africa,Ernie Els,276,?4
1998,ÿUnited States,Lee Janzen,280,E
1999,ÿUnited States,Payne Stewart,279,?1
2000,ÿUnited States,Tiger Woods,272,?12
2001,ÿSouth Africa,Retief Goosen,276,?4
2002,ÿUnited States,Tiger Woods,277,?3
2003,ÿUnited States,Jim Furyk,272,?8
2004,ÿSouth Africa,Retief Goosen,276,?4
2005,ÿNew Zealand,Michael Campbell,280,E
2006,ÿAustralia,Geoff Ogilvy,285,5
2007,ÿArgentina,Angel Cabrera,285,5
2008,ÿUnited States,Tiger Woods,283,?1
2009,ÿUnited States,Lucas Glover,276,?4
2010,ÿNorthern Ireland,Graeme McDowell,284,E
2011,ÿNorthern Ireland,Rory McIlroy,268,?16
2012,ÿUnited States,Webb Simpson,281,1
2013,ÿEngland,Justin Rose,281,1
2014,ÿGermany,Martin Kaymer,271,?9
2015,ÿUnited States,Jordan Spieth,275,?5
2016,ÿUnited States,Dustin Johnson,276,?4
2017,ÿUnited States,Brooks Koepka,272,?16
2018,ÿUnited States,Brooks Koepka,281,1
